Month,Year,TOTAL,ANOM,Date,TOTAL,ANOM
10,2003,27.05,0.29,01.10.2003,27.05,0.29
11,2003,27.07,0.35,01.11.2003,27.07,0.35
12,2003,26.97,0.35,01.12.2003,26.97,0.35
1,2004,26.95,0.37,01.01.2004,26.95,0.37
2,2004,27.08,0.31,01.02.2004,27.08,0.31
3,2004,27.43,0.23,01.03.2004,27.43,0.23
4,2004,27.76,0.17,01.04.2004,27.76,0.17
5,2004,27.91,0.17,01.05.2004,27.91,0.17
6,2004,27.87,0.28,01.06.2004,27.87,0.28
7,2004,27.74,0.47,01.07.2004,27.74,0.47
8,2004,27.63,0.64,01.08.2004,27.63,0.64
9,2004,27.52,0.7,01.09.2004,27.52,0.7
10,2004,27.44,0.67,01.10.2004,27.44,0.67
11,2004,27.38,0.66,01.11.2004,27.38,0.66
12,2004,27.3,0.69,01.12.2004,27.3,0.69
1,2005,27.22,0.64,01.01.2005,27.22,0.64
2,2005,27.36,0.58,01.02.2005,27.36,0.58
3,2005,27.65,0.45,01.03.2005,27.65,0.45
4,2005,28.02,0.43,01.04.2005,28.02,0.43
5,2005,28.03,0.29,01.05.2005,28.03,0.29
6,2005,27.69,0.11,01.06.2005,27.69,0.11
7,2005,27.21,-0.06,01.07.2005,27.21,-0.06
8,2005,26.85,-0.14,01.08.2005,26.85,-0.14
9,2005,26.71,-0.11,01.09.2005,26.71,-0.11
10,2005,26.48,-0.29,01.10.2005,26.48,-0.29
11,2005,26.15,-0.57,01.11.2005,26.15,-0.57
12,2005,25.81,-0.84,01.12.2005,25.81,-0.84
1,2006,25.8,-0.85,01.01.2006,25.8,-0.85
2,2006,26.1,-0.77,01.02.2006,26.1,-0.77
3,2006,26.73,-0.57,01.03.2006,26.73,-0.57
4,2006,27.31,-0.37,01.04.2006,27.31,-0.37
5,2006,27.69,-0.14,01.05.2006,27.69,-0.14
6,2006,27.62,-0.03,01.06.2006,27.62,-0.03
7,2006,27.4,0.1,01.07.2006,27.4,0.1
8,2006,27.26,0.3,01.08.2006,27.26,0.3
9,2006,27.3,0.54,01.09.2006,27.3,0.54
10,2006,27.48,0.77,01.10.2006,27.48,0.77
11,2006,27.62,0.94,01.11.2006,27.62,0.94
12,2006,27.56,0.94,01.12.2006,27.56,0.94
1,2007,27.3,0.66,01.01.2007,27.3,0.66
2,2007,27.09,0.22,01.02.2007,27.09,0.22
3,2007,27.18,-0.12,01.03.2007,27.18,-0.12
4,2007,27.37,-0.32,01.04.2007,27.37,-0.32
5,2007,27.45,-0.38,01.05.2007,27.45,-0.38
6,2007,27.18,-0.47,01.06.2007,27.18,-0.47
7,2007,26.74,-0.56,01.07.2007,26.74,-0.56
8,2007,26.15,-0.81,01.08.2007,26.15,-0.81
9,2007,25.69,-1.07,01.09.2007,25.69,-1.07
10,2007,25.37,-1.34,01.10.2007,25.37,-1.34
11,2007,25.17,-1.5,01.11.2007,25.17,-1.5
12,2007,25.02,-1.6,01.12.2007,25.02,-1.6
1,2008,25,-1.64,01.01.2008,25,-1.64
2,2008,25.35,-1.52,01.02.2008,25.35,-1.52
3,2008,26.01,-1.29,01.03.2008,26.01,-1.29
4,2008,26.67,-1.01,01.04.2008,26.67,-1.01
5,2008,26.99,-0.84,01.05.2008,26.99,-0.84
6,2008,27.04,-0.61,01.06.2008,27.04,-0.61
7,2008,26.92,-0.37,01.07.2008,26.92,-0.37
8,2008,26.73,-0.23,01.08.2008,26.73,-0.23
9,2008,26.52,-0.24,01.09.2008,26.52,-0.24
10,2008,26.36,-0.35,01.10.2008,26.36,-0.35
11,2008,26.12,-0.55,01.11.2008,26.12,-0.55
12,2008,25.88,-0.73,01.12.2008,25.88,-0.73
1,2009,25.79,-0.85,01.01.2009,25.79,-0.85
2,2009,26.08,-0.79,01.02.2009,26.08,-0.79
3,2009,26.68,-0.61,01.03.2009,26.68,-0.61
4,2009,27.36,-0.33,01.04.2009,27.36,-0.33
5,2009,27.84,0.01,01.05.2009,27.84,0.01
6,2009,27.94,0.28,01.06.2009,27.94,0.28
7,2009,27.75,0.45,01.07.2009,27.75,0.45
8,2009,27.53,0.58,01.08.2009,27.53,0.58
9,2009,27.47,0.71,01.09.2009,27.47,0.71
10,2009,27.72,1.01,01.10.2009,27.72,1.01
11,2009,28.03,1.36,01.11.2009,28.03,1.36
12,2009,28.18,1.56,01.12.2009,28.18,1.56
1,2010,28.14,1.5,01.01.2010,28.14,1.5
2,2010,28.09,1.22,01.02.2010,28.09,1.22
3,2010,28.14,0.84,01.03.2010,28.14,0.84
4,2010,28.04,0.35,01.04.2010,28.04,0.35
5,2010,27.66,-0.17,01.05.2010,27.66,-0.17
6,2010,27,-0.66,01.06.2010,27,-0.66
7,2010,26.25,-1.05,01.07.2010,26.25,-1.05
8,2010,25.61,-1.35,01.08.2010,25.61,-1.35
9,2010,25.21,-1.56,01.09.2010,25.21,-1.56
10,2010,25.07,-1.64,01.10.2010,25.07,-1.64
11,2010,25.03,-1.64,01.11.2010,25.03,-1.64
12,2010,25.02,-1.59,01.12.2010,25.02,-1.59
1,2011,25.22,-1.42,01.01.2011,25.22,-1.42
2,2011,25.68,-1.19,01.02.2011,25.68,-1.19
3,2011,26.37,-0.93,01.03.2011,26.37,-0.93
4,2011,26.95,-0.73,01.04.2011,26.95,-0.73
5,2011,27.28,-0.55,01.05.2011,27.28,-0.55
6,2011,27.21,-0.44,01.06.2011,27.21,-0.44
7,2011,26.81,-0.48,01.07.2011,26.81,-0.48
8,2011,26.33,-0.62,01.08.2011,26.33,-0.62
9,2011,25.93,-0.83,01.09.2011,25.93,-0.83
10,2011,25.7,-1.01,01.10.2011,25.7,-1.01
11,2011,25.58,-1.09,01.11.2011,25.58,-1.09
12,2011,25.58,-1.04,01.12.2011,25.58,-1.04
1,2012,25.77,-0.86,01.01.2012,25.77,-0.86
2,2012,26.15,-0.72,01.02.2012,26.15,-0.72
3,2012,26.71,-0.59,01.03.2012,26.71,-0.59
4,2012,27.21,-0.47,01.04.2012,27.21,-0.47
5,2012,27.57,-0.26,01.05.2012,27.57,-0.26
6,2012,27.64,-0.01,01.06.2012,27.64,-0.01
7,2012,27.54,0.25,01.07.2012,27.54,0.25
8,2012,27.32,0.37,01.08.2012,27.32,0.37
9,2012,27.13,0.37,01.09.2012,27.13,0.37
10,2012,26.98,0.27,01.10.2012,26.98,0.27
11,2012,26.73,0.05,01.11.2012,26.73,0.05
12,2012,26.41,-0.21,01.12.2012,26.41,-0.21
1,2013,26.21,-0.43,01.01.2013,26.21,-0.43
2,2013,26.44,-0.43,01.02.2013,26.44,-0.43
3,2013,26.96,-0.34,01.03.2013,26.96,-0.34
4,2013,27.38,-0.3,01.04.2013,27.38,-0.3
5,2013,27.47,-0.36,01.05.2013,27.47,-0.36
6,2013,27.24,-0.41,01.06.2013,27.24,-0.41
7,2013,26.89,-0.4,01.07.2013,26.89,-0.4
8,2013,26.64,-0.32,01.08.2013,26.64,-0.32
9,2013,26.51,-0.26,01.09.2013,26.51,-0.26
10,2013,26.54,-0.18,01.10.2013,26.54,-0.18
11,2013,26.5,-0.17,01.11.2013,26.5,-0.17
12,2013,26.35,-0.27,01.12.2013,26.35,-0.27
1,2014,26.22,-0.42,01.01.2014,26.22,-0.42
2,2014,26.41,-0.46,01.02.2014,26.41,-0.46
3,2014,27.03,-0.27,01.03.2014,27.03,-0.27
4,2014,27.73,0.04,01.04.2014,27.73,0.04
5,2014,28.04,0.21,01.05.2014,28.04,0.21
6,2014,27.82,0.16,01.06.2014,27.82,0.16
7,2014,27.34,0.05,01.07.2014,27.34,0.05
8,2014,27.02,0.07,01.08.2014,27.02,0.07
9,2014,27,0.23,01.09.2014,27,0.23
10,2014,27.21,0.49,01.10.2014,27.21,0.49
11,2014,27.31,0.64,01.11.2014,27.31,0.64
12,2014,27.28,0.66,01.12.2014,27.28,0.66
1,2015,27.19,0.55,01.01.2015,27.19,0.55
2,2015,27.34,0.47,01.02.2015,27.34,0.47
3,2015,27.82,0.53,01.03.2015,27.82,0.53
4,2015,28.38,0.7,01.04.2015,28.38,0.7
5,2015,28.76,0.93,01.05.2015,28.76,0.93
6,2015,28.83,1.18,01.06.2015,28.83,1.18
7,2015,28.81,1.52,01.07.2015,28.81,1.52
8,2015,28.82,1.86,01.08.2015,28.82,1.86
9,2015,28.93,2.16,01.09.2015,28.93,2.16
10,2015,29.14,2.42,01.10.2015,29.14,2.42
11,2015,29.25,2.57,01.11.2015,29.25,2.57
12,2015,29.26,2.64,01.12.2015,29.26,2.64
1,2016,29.12,2.48,01.01.2016,29.12,2.48
2,2016,29.01,2.14,01.02.2016,29.01,2.14
3,2016,28.88,1.58,01.03.2016,28.88,1.58
4,2016,28.62,0.94,01.04.2016,28.62,0.94
5,2016,28.22,0.39,01.05.2016,28.22,0.39
6,2016,27.59,-0.07,01.06.2016,27.59,-0.07
7,2016,26.93,-0.36,01.07.2016,26.93,-0.36
8,2016,26.42,-0.54,01.08.2016,26.42,-0.54
9,2016,26.14,-0.63,01.09.2016,26.14,-0.63
10,2016,26.02,-0.69,01.10.2016,26.02,-0.69
11,2016,26.01,-0.67,01.11.2016,26.01,-0.67
12,2016,26.06,-0.56,01.12.2016,26.06,-0.56
1,2017,26.3,-0.34,01.01.2017,26.3,-0.34
2,2017,26.71,-0.16,01.02.2017,26.71,-0.16
3,2017,27.35,0.05,01.03.2017,27.35,0.05
4,2017,27.89,0.2,01.04.2017,27.89,0.2
5,2017,28.13,0.3,01.05.2017,28.13,0.3
6,2017,27.97,0.31,01.06.2017,27.97,0.31
7,2017,27.43,0.14,01.07.2017,27.43,0.14
8,2017,26.84,-0.11,01.08.2017,26.84,-0.11
9,2017,26.38,-0.38,01.09.2017,26.38,-0.38
10,2017,26.06,-0.65,01.10.2017,26.06,-0.65
11,2017,25.84,-0.84,01.11.2017,25.84,-0.84
12,2017,25.64,-0.97,01.12.2017,25.64,-0.97
1,2018,25.72,-0.92,01.01.2018,25.72,-0.92
2,2018,26.02,-0.85,01.02.2018,26.02,-0.85
3,2018,26.6,-0.7,01.03.2018,26.6,-0.7
4,2018,27.18,-0.5,01.04.2018,27.18,-0.5
5,2018,27.61,-0.22,01.05.2018,27.61,-0.22
6,2018,27.64,-0.01,01.06.2018,27.64,-0.01
7,2018,27.38,0.09,01.07.2018,27.38,0.09
8,2018,27.18,0.23,01.08.2018,27.18,0.23
9,2018,27.25,0.49,01.09.2018,27.25,0.49
10,2018,27.47,0.76,01.10.2018,27.47,0.76
11,2018,27.57,0.9,01.11.2018,27.57,0.9
12,2018,27.43,0.81,01.12.2018,27.43,0.81
1,2019,27.39,0.75,01.01.2019,27.39,0.75
2,2019,27.59,0.72,01.02.2019,27.59,0.72
3,2019,28.01,0.71,01.03.2019,28.01,0.71
4,2019,28.34,0.66,01.04.2019,28.34,0.66
5,2019,28.37,0.54,01.05.2019,28.37,0.54
6,2019,28.1,0.45,01.06.2019,28.1,0.45
7,2019,27.57,0.28,01.07.2019,27.57,0.28
8,2019,27.1,0.14,01.08.2019,27.1,0.14
9,2019,26.95,0.19,01.09.2019,26.95,0.19
10,2019,27.06,0.35,01.10.2019,27.06,0.35
11,2019,27.18,0.51,01.11.2019,27.18,0.51
12,2019,27.17,0.55,01.12.2019,27.17,0.55
1,2020,27.14,0.5,01.01.2020,27.14,0.5
2,2020,27.35,0.48,01.02.2020,27.35,0.48
3,2020,27.7,0.4,01.03.2020,27.7,0.4
4,2020,27.87,0.19,01.04.2020,27.87,0.19
5,2020,27.75,-0.08,01.05.2020,27.75,-0.08
6,2020,27.35,-0.3,01.06.2020,27.35,-0.3
7,2020,26.88,-0.41,01.07.2020,26.88,-0.41
8,2020,26.38,-0.57,01.08.2020,26.38,-0.57
9,2020,25.87,-0.89,01.09.2020,25.87,-0.89
10,2020,25.54,-1.17,01.10.2020,25.54,-1.17
11,2020,25.4,-1.27,01.11.2020,25.4,-1.27
12,2020,25.43,-1.19,01.12.2020,25.43,-1.19
1,2021,25.59,-1.05,01.01.2021,25.59,-1.05
2,2021,25.94,-0.93,01.02.2021,25.94,-0.93
3,2021,26.46,-0.84,01.03.2021,26.46,-0.84
4,2021,27.03,-0.66,01.04.2021,27.03,-0.66
5,2021,27.35,-0.48,01.05.2021,27.35,-0.48
6,2021,27.28,-0.38,01.06.2021,27.28,-0.38
7,2021,26.89,-0.4,01.07.2021,26.89,-0.4
8,2021,26.46,-0.49,01.08.2021,26.46,-0.49
9,2021,26.09,-0.67,01.09.2021,26.09,-0.67
10,2021,25.9,-0.81,01.10.2021,25.9,-0.81
11,2021,25.69,-0.98,01.11.2021,25.69,-0.98
12,2021,25.63,-0.98,01.12.2021,25.63,-0.98
1,2022,25.67,-0.97,01.01.2022,25.67,-0.97
2,2022,25.94,-0.93,01.02.2022,25.94,-0.93
3,2022,26.31,-0.99,01.03.2022,26.31,-0.99
4,2022,26.62,-1.06,01.04.2022,26.62,-1.06
5,2022,26.84,-0.99,01.05.2022,26.84,-0.99
6,2022,26.8,-0.85,01.06.2022,26.8,-0.85
7,2022,26.48,-0.81,01.07.2022,26.48,-0.81
8,2022,26.04,-0.91,01.08.2022,26.04,-0.91
9,2022,25.75,-1.01,01.09.2022,25.75,-1.01
10,2022,25.72,-0.99,01.10.2022,25.72,-0.99
11,2022,25.76,-0.92,01.11.2022,25.76,-0.92
12,2022,25.79,-0.83,01.12.2022,25.79,-0.83
1,2023,25.96,-0.68,01.01.2023,25.96,-0.68
2,2023,26.44,-0.43,01.02.2023,26.44,-0.43
3,2023,27.15,-0.15,01.03.2023,27.15,-0.15
4,2023,27.85,0.16,01.04.2023,27.85,0.16
5,2023,28.31,0.48,01.05.2023,28.31,0.48
6,2023,28.42,0.77,01.06.2023,28.42,0.77
7,2023,28.36,1.07,01.07.2023,28.36,1.07
8,2023,28.28,1.32,01.08.2023,28.28,1.32
9,2023,28.32,1.56,01.09.2023,28.32,1.56
10,2023,28.49,1.78,01.10.2023,28.49,1.78
11,2023,28.6,1.92,01.11.2023,28.6,1.92
12,2023,28.57,1.95,01.12.2023,28.57,1.95
1,2024,28.43,1.79,01.01.2024,28.43,1.79
2,2024,28.36,1.49,01.02.2024,28.36,1.49
3,2024,28.43,1.14,01.03.2024,28.43,1.14
4,2024,28.4,0.71,01.04.2024,28.4,0.71
5,2024,28.23,0.4,01.05.2024,28.23,0.4
6,2024,27.81,0.15,01.06.2024,27.81,0.15
7,2024,27.33,0.04,01.07.2024,27.33,0.04
8,2024,26.84,-0.11,01.08.2024,26.84,-0.11
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
